,ID,precipitation,temperature,elevation,evi,lai,ndvi,slope,TPI,wetness.twi,ruggedness.TRI,BK1000,Geology,Landuse,Bezirk,x,y,PROBEN_ID,BODENTYP,BODENART,POT,PUT,sand,silt,clay
5332,8104,899.039855957031,7.70720624923706,442.223114013672,0.335148096084595,1.94782888889313,0.595281720161438,0.0904260352253914,-1.20919406414032,6.86453723907471,17.931791305542,143840,87132,3,86174,675414.34222507,5517077.84624676,B6234AB00000200001,vSS-BB,Lt2,0.0,24.0,26.0,46.0,28.0
5333,4807,836.204956054688,7.52352952957153,480.087890625,0.382015764713287,2.10875868797302,0.677715539932251,0.166871279478073,0.563587248325348,4.43529319763184,36.0551490783691,112112,114554,2,86174,675487.384590685,5527002.29673589,B6134AB00002100001,SS-BB,Sl3,0.0,30.0,63.0,26.0,11.0
5337,1806,1052.25402832031,6.67408180236816,591.194519042969,0.306126922369003,1.64969897270203,0.512027144432068,0.0690856277942658,2.08279466629028,5.86176109313965,20.0505390167236,143840,124786,7,86174,675754.017918405,5578503.52049658,B5634AB00000400001,vBBn,Lt2,0.0,20.0,31.2,43.3,25.5
5344,8388,811.59765625,7.57943534851074,469.492614746094,0.355292111635208,1.74763083457947,0.581289708614349,0.0263959858566523,0.765064835548401,7.7411527633667,9.85598278045654,142048,105051,2,86174,675787.855703707,5534861.31797422,B6034AB00000400001,vBB-DD,Tu2,0.0,15.0,11.0,37.0,52.0
5350,4983,904.263549804688,7.43137884140015,503.004577636719,0.305527418851852,1.45855569839478,0.500151574611664,0.101936928927898,-1.18971145153046,6.83752918243408,21.049633026123,143840,87132,2,86174,675804.790493173,5518949.87697113,B6234AB00001700001,BB-RR,Tu3,0.0,20.0,14.0,51.0,35.0
5351,1707,1105.18444824219,6.28451204299927,695.407897949219,0.254476070404053,2.16484808921814,0.646080315113068,0.171144917607307,4.89400100708008,4.52550458908081,50.9200782775879,143840,10428,4,86174,675865.158006752,5569290.8701895,B5734AB00000800002,BBn,Ls4,1.0,20.0,52.4,29.6,18.0
5357,3238,960.559631347656,6.37430143356323,660.484191894531,0.248591229319572,2.37016987800598,0.625501811504364,0.123883761465549,2.1133975982666,5.21837043762207,38.2638130187988,143840,124786,4,86174,676087.648192546,5585612.49024061,B5634AB00001900005,p4BBl,Lt2,1.0,6.0,23.7,47.9,28.6
5363,4772,1092.15148925781,6.9913272857666,568.434814453125,0.366189181804657,2.50074481964111,0.652094781398773,0.0561289899051189,2.24196267127991,5.72844552993774,19.0298500061035,143840,87132,3,85208,676106.161675601,5494373.29510483,B6434AB00003000003,RRn,Su2,0.0,12.0,75.9,20.7,3.4
5365,3200,960.622924804687,6.37286186218262,637.625610351563,0.251009941101074,2.41927075386047,0.649336874485016,0.103766739368439,1.27889132499695,5.82890701293945,16.8924884796143,143840,124786,4,86174,676184.520469627,5585196.0737121,B5634AB00001800005,p4SS-BB,Lu,1.0,4.0,24.3,51.9,23.8
5374,8737,991.47314453125,7.48769760131836,482.639312744141,0.339224517345428,1.94601607322693,0.605136573314667,0.105764426290989,-0.983352541923523,7.16152334213257,14.9641799926758,143840,106242,4,86174,676244.767577601,5502184.73084524,B6334AB00000500003,BBc,Sl3,0.0,19.0,77.0,14.0,8.9
5375,2731,766.355346679688,7.79065656661987,426.026123046875,0.325323849916458,2.76799321174622,0.752996146678925,0.0328441597521305,1.70365226268768,7.31519985198975,11.8616275787354,142048,98443,4,86174,676306.644414859,5541387.11289479,B6034AB00000600004,PP-SS,Lu,1.0,7.0,28.9,53.3,17.8
